Scammed,Age_Group,Gender,Education_Level,Employment_Status,Income,Internet_Usage_Frequency,Most_Used_Platform,Daily_Online_Hours,Stranger_Interactions,Monthly_Online_Transactions,Active_Social_Media_Accounts,Email_Accounts,Shares_Personal_Info,Different_Passwords,Downloads_From_Untrusted_Sources,Response_To_Suspicious_Contacts,Online_Subscriptions,Reads_Reviews_Before_Buying,Max_Single_Transaction_Spend
1,0,1,0,3,0.0,0,1,10,3,20,3,4,0,2,4,2,0,0,1000
0,0,1,0,3,0.0,0,3,5,3,11,3,3,1,2,1,3,2,1,500
0,0,1,0,3,800.0,0,3,9,2,6,4,2,0,3,0,2,3,1,500
1,0,0,0,3,0.0,0,3,8,3,30,5,3,1,2,0,2,0,0,70
1,0,1,0,3,0.0,0,3,8,3,30,2,3,0,3,2,2,3,0,100
1,0,0,0,3,0.0,0,3,4,3,20,3,3,1,3,0,2,1,0,120
1,0,1,0,3,0.0,0,3,10,3,10,5,3,1,1,0,2,2,0,150
1,0,1,0,3,0.0,0,3,10,3,30,3,3,0,5,0,2,0,0,20
0,0,1,0,3,0.0,0,3,8,2,40,4,2,0,4,0,2,1,1,100
0,0,0,0,3,0.0,0,3,12,2,20,5,3,0,20,1,2,2,1,150
1,3,1,0,2,2000.0,0,3,2,1,10,4,2,0,3,0,0,2,0,300
1,0,1,0,3,0.0,0,3,8,3,60,4,2,1,3,2,2,2,0,1000
0,0,1,0,3,0.0,0,3,8,2,50,3,4,0,12,0,2,3,1,200
1,0,1,1,3,0.0,0,3,10,3,30,4,4,1,4,2,2,0,1,150
1,0,0,0,3,0.0,0,3,7,3,60,3,3,1,5,3,0,4,1,500
1,0,1,4,0,1900.0,0,2,3,3,30,1,2,1,15,0,0,1,0,1000
1,1,1,0,3,0.0,0,2,4,1,100,2,2,0,3,0,2,1,1,2000
1,0,0,1,2,1800.0,0,3,10,3,50,3,1,1,3,1,0,2,0,100
0,0,0,0,3,800.0,0,3,12,2,20,2,3,0,4,2,2,3,1,100
1,0,0,1,3,0.0,0,3,9,3,20,5,2,0,5,1,2,3,1,100
1,0,1,1,3,500.0,0,1,5,0,10,3,5,1,5,1,3,0,1,500
1,0,1,0,3,0.0,0,3,5,3,400,3,6,0,12,1,0,1,1,50
1,0,1,0,3,0.0,0,3,12,2,10,3,5,1,3,0,2,1,0,100
1,0,1,1,3,200.0,2,3,14,3,10,3,4,0,10,0,0,1,0,50
0,0,1,1,3,0.0,0,3,2,3,13,1,3,0,6,1,2,1,1,60
0,0,0,4,0,3000.0,0,3,9,3,200,3,1,0,3,0,2,1,1,100
1,0,1,4,0,1530.0,0,1,10,2,350,5,2,1,3,7,3,2,0,300
1,0,1,0,3,0.0,0,2,15,3,100,2,3,0,3,3,2,1,1,100
0,0,1,0,3,0.0,0,3,8,3,50,2,2,0,10,4,2,2,1,4000
1,0,1,0,3,0.0,0,3,2,3,20,1,1,0,2,2,2,3,1,200
1,0,0,1,3,1000.0,0,3,7,2,400,3,3,1,2,4,0,2,0,50
1,0,1,0,3,0.0,0,3,6,3,40,5,6,1,2,0,2,3,1,2000
0,0,1,1,0,2600.0,0,3,4,3,10,3,2,0,1,4,2,1,0,200
1,0,0,0,0,2500.0,0,3,9,3,20,3,3,0,5,0,2,0,0,50
1,0,0,1,0,2000.0,0,3,8,2,15,9,2,1,3,5,2,2,0,120
0,3,0,0,0,7200.0,0,3,3,3,30,3,2,0,3,0,0,3,1,200
1,0,1,1,3,0.0,0,3,16,3,30,5,1,0,3,0,0,3,1,100
0,0,0,2,3,0.0,0,1,8,2,30,5,8,0,5,0,0,3,1,250
1,0,1,0,3,800.0,0,3,10,3,50,4,3,1,4,0,3,0,1,150
0,0,0,0,3,0.0,0,3,10,3,30,3,4,0,2,3,2,3,1,100
1,0,0,2,3,0.0,0,3,6,3,60,4,3,1,2,0,2,0,0,100
1,0,0,0,0,3500.0,0,3,8,1,20,2,4,0,5,0,0,2,1,100
1,0,1,4,0,1530.0,0,1,8,2,50,4,2,1,1,1,3,2,1,300
1,3,1,0,2,2500.0,0,3,2,3,10,4,2,0,3,0,0,0,1,400
1,2,0,0,0,6000.0,0,3,5,3,15,2,2,1,2,1,2,3,0,100
1,1,0,0,0,3000.0,0,3,8,1,20,3,1,0,3,1,0,5,1,20
0,0,0,4,3,0.0,0,3,3,1,0,2,0,0,0,0,2,1,1,20
0,0,0,4,3,0.0,0,1,14,2,0,1,3,0,2,6,2,0,1,100
1,0,0,4,3,0.0,0,3,4,3,24,3,3,0,3,0,2,2,1,50
0,0,0,4,3,0.0,2,3,1,1,0,1,1,0,0,0,2,0,1,0
0,0,0,4,3,0.0,1,3,3,3,3,2,1,0,4,3,2,2,1,10
0,0,1,4,3,0.0,0,3,9,3,3,2,3,0,3,0,2,1,1,50
1,3,1,1,2,5000.0,0,3,3,0,202,3,2,0,2,3,2,2,1,100
0,0,0,4,3,0.0,0,3,2,3,0,1,3,0,3,0,2,0,1,40
1,2,0,4,4,0.0,0,3,8,2,20,3,1,1,2,0,2,1,1,100
0,3,1,1,2,5000.0,0,3,3,2,20,2,2,0,2,3,2,3,1,300
1,2,1,1,0,6000.0,0,3,8,3,10,3,2,0,5,5,2,6,1,1000
0,2,0,1,4,0.0,0,3,6,3,16,3,1,0,4,0,0,0,1,100
1,3,1,4,0,6000.0,0,3,5,3,17,3,4,1,7,3,2,2,1,100
0,3,1,4,4,0.0,0,3,4,2,15,3,2,0,5,3,2,3,1,150
0,0,1,4,3,0.0,0,3,7,1,0,1,1,0,1,3,0,2,1,0
1,0,1,0,0,4500.0,0,1,15,2,20,8,9,1,4,10,2,2,1,100
0,3,0,4,4,0.0,1,3,1,3,14,1,1,0,3,3,2,0,1,100
1,3,1,4,0,3300.0,0,3,6,3,13,3,2,0,3,0,0,0,1,150
0,2,0,1,4,0.0,0,0,2,3,30,1,2,0,2,0,2,0,1,50
1,0,0,4,3,0.0,0,3,11,3,20,3,2,0,3,0,2,1,1,10
0,3,0,4,4,1000.0,0,3,6,3,150,3,0,0,3,2,2,1,1,50
1,0,1,4,3,0.0,0,1,3,3,0,1,1,0,2,0,2,0,1,40
0,2,0,0,0,10000.0,0,3,3,3,16,3,1,0,4,0,0,3,1,200
1,3,0,4,2,1500.0,0,3,7,2,17,4,2,0,4,3,2,1,1,100
1,3,1,3,0,7500.0,0,3,2,2,30,3,4,1,5,0,2,0,1,150
1,3,1,3,0,10000.0,0,3,1,0,30,42,2,1,3,8,2,3,1,5000
0,3,1,3,0,1.0,0,3,6,3,12,1,2,0,8,1,0,4,1,100
0,3,0,4,4,0.0,0,3,4,1,100,4,1,0,1,0,0,0,1,100
1,3,0,1,0,3000.0,0,3,3,2,15,3,2,1,3,0,2,2,1,100
0,3,1,3,0,15000.0,0,2,10,1,15,3,3,0,5,0,0,5,1,300
0,0,0,1,0,2800.0,0,3,7,2,25,4,6,0,4,0,2,5,1,200
1,1,0,0,0,5000.0,0,3,7,3,10,7,8,1,5,1,0,5,0,100
1,3,1,4,1,0.0,0,3,8,3,17,3,1,1,5,3,2,5,1,300
0,0,0,1,3,0.0,0,3,5,3,30,3,2,0,5,0,0,1,1,100
1,2,0,0,2,3000.0,0,3,4,3,15,2,1,0,5,3,0,1,1,100
1,1,0,1,0,3200.0,0,2,6,1,15,2,3,1,15,0,2,7,0,200
0,0,0,4,3,0.0,3,3,3,3,0,2,2,0,5,0,0,0,1,0
1,3,0,4,0,1500.0,1,3,1,3,42,2,1,0,4,2,0,2,1,50
1,3,0,1,2,0.0,0,3,3,2,30,3,2,0,4,0,0,3,0,100
1,2,0,1,0,5000.0,0,2,16,3,20,2,2,0,1,1,0,1,1,50
0,0,0,0,3,500.0,0,3,20,3,30,3,4,0,10,0,0,1,1,100
1,0,1,0,3,0.0,0,3,6,3,51,4,2,0,6,0,2,4,1,50
1,0,1,0,3,0.0,0,3,20,2,60,11,4,0,5,2,3,1,0,100
1,0,1,0,3,0.0,0,3,5,3,60,4,2,0,2,3,2,3,1,150
0,0,1,0,3,0.0,0,1,10,1,20,1,2,0,2,2,2,0,1,100
0,0,0,0,3,0.0,0,3,7,3,20,5,4,0,5,0,2,5,1,200
1,0,1,1,3,0.0,3,1,2,2,3,1,1,1,3,0,2,1,0,100
0,2,0,4,0,3000.0,0,3,5,3,15,4,3,0,10,0,0,1,1,100
1,0,0,1,3,0.0,0,3,5,3,75,6,4,0,4,6,2,1,1,15
1,3,0,0,0,6000.0,0,3,2,2,15,5,3,1,3,3,0,2,0,200
1,0,0,1,3,0.0,0,3,12,2,3,4,3,0,1,0,3,4,1,100
1,2,1,0,0,4000.0,0,3,2,2,30,3,3,1,2,2,2,2,1,100
0,2,0,0,0,7000.0,0,3,3,3,15,3,1,0,2,2,0,0,1,200
0,3,0,0,0,10000.0,0,3,8,3,15,3,2,0,3,0,0,0,1,50
0,3,0,3,0,10000.0,0,3,2,3,12,1,1,0,1,0,0,10,0,100
0,3,1,0,0,7000.0,0,3,2,1,10,1,1,0,3,0,2,1,0,200
1,3,0,0,0,7000.0,0,1,2,1,17,3,1,1,3,0,0,0,1,80
0,2,0,0,0,8000.0,0,3,6,3,13,2,2,0,4,3,2,0,1,50
0,2,1,0,0,6000.0,3,3,2,3,13,2,3,0,4,0,0,2,1,100
0,2,0,0,0,6000.0,0,3,4,3,15,2,2,0,3,0,2,2,0,200
0,2,0,4,0,3000.0,0,3,3,3,10,2,1,0,2,2,2,1,1,100
0,2,0,0,0,7000.0,0,3,2,1,30,2,3,0,10,1,0,1,1,150
1,3,0,0,0,7000.0,0,3,3,3,15,1,2,1,5,0,0,3,0,50
0,3,0,0,0,10000.0,0,3,7,3,20,3,4,0,8,5,0,5,1,300
0,3,0,0,0,10000.0,0,3,6,1,10,4,3,0,5,0,2,2,1,200
0,3,0,0,1,5000.0,1,3,1,1,15,1,1,0,0,0,2,0,1,100
0,2,1,0,0,8000.0,0,3,4,3,10,4,3,0,3,2,2,5,0,1000
1,2,0,0,0,7000.0,0,3,2,2,10,3,3,0,4,10,0,2,1,200
0,0,0,0,3,500.0,0,3,6,3,20,4,4,0,20,0,0,4,1,200
1,0,0,0,3,0.0,0,3,4,0,30,4,3,0,4,2,2,3,0,400
0,3,0,0,0,10000.0,0,3,2,3,2,2,3,0,10,1,0,2,1,100
1,3,1,3,0,5000.0,0,3,3,1,50,3,2,0,2,3,2,2,0,120
0,3,1,4,1,0.0,0,3,6,1,20,3,1,0,1,0,0,2,1,100
1,3,0,1,1,3000.0,0,3,3,3,15,4,1,0,4,0,0,2,1,100
1,3,0,4,4,400.0,3,3,1,3,11,1,1,0,3,0,2,1,0,30
0,0,0,0,3,0.0,0,3,7,1,50,2,2,0,4,0,2,0,1,100
0,3,0,4,1,0.0,0,3,6,1,102,21,1,0,2,0,2,1,1,100
0,3,0,4,4,1000.0,0,3,8,1,10,3,1,0,1,0,2,3,1,50
1,0,0,1,3,0.0,0,3,7,3,20,4,2,0,3,5,2,0,1,50
1,3,0,0,1,5000.0,0,3,5,1,15,2,1,0,5,0,0,1,0,250
0,3,0,4,1,0.0,0,3,24,1,1,3,1,0,2,4,0,2,1,0
1,3,1,4,4,800.0,0,3,2,3,8,1,1,0,2,0,0,2,0,100
0,3,0,4,4,1200.0,0,3,12,2,8,3,4,0,3,6,2,1,1,50
0,3,0,4,0,3000.0,0,3,4,1,20,3,1,0,1,1,0,5,1,50
0,2,0,1,0,4000.0,0,3,4,1,10,2,2,0,4,0,2,0,1,150
0,2,0,1,2,3000.0,0,3,8,2,30,3,2,0,3,2,0,1,1,100
0,2,0,3,0,6500.0,0,3,2,3,6,2,2,0,2,2,0,1,1,50
0,2,0,3,0,5000.0,0,3,5,3,10,2,1,0,4,0,0,0,1,300
0,3,0,4,1,9000.0,1,3,1,1,10,1,1,0,1,1,2,1,1,100
1,2,0,4,0,1500.0,0,3,4,3,4,1,3,1,2,2,2,2,0,30
1,3,1,2,1,3000.0,0,3,2,1,12,4,1,1,3,2,2,2,1,100
0,3,0,0,0,6000.0,0,3,4,2,20,4,1,0,4,0,0,3,1,450
0,3,1,3,0,7000.0,0,3,2,3,20,3,2,0,4,0,0,2,1,250
1,2,0,0,0,4500.0,0,3,5,0,13,3,2,0,2,3,2,3,1,500
0,3,0,4,1,1000.0,0,3,1,3,2,2,1,0,1,1,2,3,1,0
1,2,0,3,0,5000.0,0,3,3,3,20,2,2,0,5,4,2,5,0,200
1,1,1,4,0,1800.0,0,3,5,3,10,3,2,1,3,3,2,2,0,200
0,3,0,4,1,1300.0,0,3,4,3,8,1,1,0,2,0,2,2,1,0
0,3,0,0,0,6000.0,0,3,6,2,10,3,2,0,6,4,2,3,1,400
0,3,0,4,4,100.0,0,3,10,1,0,0,0,0,1,0,2,3,1,50
1,0,1,1,0,2150.0,0,3,7,3,10,3,1,1,3,2,0,2,1,100
1,1,1,1,2,1000.0,1,3,3,1,200,2,1,1,1,2,2,0,1,100
1,2,0,0,4,5000.0,0,3,5,3,20,4,1,0,5,0,2,5,1,1000
0,3,0,4,4,0.0,0,3,5,1,10,3,1,0,10,3,2,0,1,50
0,3,0,4,4,1500.0,0,3,5,3,20,4,1,0,2,2,0,2,1,150
1,2,0,0,0,6000.0,0,3,12,2,30,4,2,0,1,0,0,1,1,100
0,2,0,4,0,6000.0,0,3,1,1,19,1,2,0,1,1,2,2,1,50
0,3,0,0,0,10000.0,0,3,2,1,20,2,2,0,5,0,0,2,1,50
0,3,0,0,0,3000.0,0,3,3,3,7,2,2,0,3,1,0,1,1,50
0,3,0,0,2,3000.0,0,3,8,1,10,3,1,0,5,1,0,2,1,200
0,3,0,4,4,0.0,0,3,5,1,3,3,1,0,2,0,0,1,1,100
1,2,0,1,0,21000.0,0,0,10,0,200,6,3,0,5,2,2,10,1,1000
0,3,0,1,4,0.0,0,3,5,3,100,3,1,0,1,1,2,1,1,50
1,3,1,1,0,1500.0,0,3,3,3,20,3,2,0,5,10,2,3,1,200
1,1,0,1,0,2000.0,0,3,10,3,9,5,1,0,1,2,2,2,1,100
0,3,0,0,0,6000.0,0,3,2,3,17,5,2,0,6,0,2,1,1,100
0,3,0,1,1,0.0,0,2,2,1,10,0,1,0,2,0,0,2,1,200
1,0,0,0,3,1.0,0,3,5,3,10,5,3,0,3,2,2,2,1,100
1,1,0,0,0,4500.0,0,3,5,3,14,3,1,0,1,0,2,2,1,215
1,2,1,1,2,2000.0,3,3,7,3,12,3,1,0,1,0,2,3,0,600
1,0,0,3,0,4500.0,0,3,5,3,15,2,2,1,1,0,2,2,1,500
1,3,1,3,1,5100.0,1,3,5,3,17,2,1,0,1,0,2,1,1,200
1,1,0,0,3,1000.0,3,3,8,2,10,4,3,1,3,0,2,3,1,250
1,0,1,0,3,1200.0,0,3,9,2,15,3,3,1,2,1,2,1,1,300
0,1,1,2,3,0.0,0,3,5,1,3,1,4,0,3,0,2,2,1,100
1,0,1,2,3,0.0,0,3,7,2,5,2,5,0,1,4,0,1,0,500
1,1,0,0,0,2700.0,0,3,7,3,29,4,4,0,1,0,0,4,1,300
1,2,1,1,2,2500.0,0,0,5,3,20,3,2,0,1,1,3,0,0,200
0,1,1,0,3,800.0,0,3,5,1,10,2,2,0,2,0,0,1,1,150
0,0,0,2,3,600.0,0,3,7,1,9,3,3,0,3,0,0,1,1,50
1,3,0,4,4,0.0,0,3,10,0,3,3,4,0,3,3,3,1,0,1500
0,2,1,0,2,4000.0,0,3,3,1,1,1,2,0,3,0,0,0,1,50
0,1,0,0,2,3000.0,0,0,5,1,14,2,1,0,2,0,2,4,1,250
1,0,1,1,0,1800.0,0,1,10,0,2,3,4,0,1,3,3,2,0,100
0,0,1,2,3,700.0,0,3,6,3,6,2,1,0,2,0,1,0,1,80
0,1,1,1,2,2800.0,0,2,4,3,14,1,1,0,1,0,2,3,1,200
0,0,1,1,3,0.0,0,3,5,3,2,4,1,0,3,0,2,0,1,10
1,0,0,2,3,0.0,0,0,6,1,4,1,2,0,1,0,2,3,0,300
0,3,1,0,1,1000.0,3,3,7,1,5,1,1,0,1,0,0,0,1,100
1,2,1,0,0,2000.0,0,3,8,2,5,5,4,0,2,3,1,3,0,1000
1,1,1,2,3,0.0,0,1,10,0,1,1,2,1,1,5,2,0,1,250
0,2,0,0,0,4000.0,0,0,5,3,15,2,2,0,2,0,0,2,1,300
0,1,0,0,0,2200.0,0,3,11,0,12,5,4,0,2,2,3,3,1,1500
1,1,0,3,0,3500.0,0,2,6,0,18,4,2,0,4,3,0,2,1,200
1,0,0,1,3,0.0,0,3,9,2,4,6,4,0,6,0,2,4,1,60
1,0,1,1,3,800.0,0,3,9,1,14,3,1,0,1,1,3,2,0,200
0,1,1,0,0,2500.0,0,3,5,1,20,3,2,0,3,0,0,2,1,100
0,3,0,0,1,900.0,3,3,5,1,5,1,1,0,1,0,2,0,1,100
0,1,1,1,2,1500.0,3,0,3,3,7,2,1,0,2,0,0,0,1,100
0,2,1,0,0,3000.0,0,2,4,1,16,1,1,0,1,0,2,2,1,55
0,0,1,2,3,700.0,0,0,5,1,12,2,1,0,2,0,1,2,1,50
0,1,1,1,2,2567.0,0,0,4,1,4,1,1,0,1,0,0,1,1,60
0,0,1,0,2,2890.0,0,2,5,1,8,2,1,0,1,0,0,7,1,100
0,2,1,1,2,3100.0,3,0,3,3,6,2,1,0,2,0,0,2,1,150
1,0,0,0,3,0.0,0,3,7,3,10,4,4,1,7,3,2,1,1,50
1,0,0,0,3,0.0,0,3,6,3,50,4,4,0,5,3,2,5,0,200
0,0,1,2,3,0.0,0,3,15,3,30,4,2,0,2,3,0,2,1,1000
1,0,0,0,3,0.0,0,3,5,2,5,3,2,0,2,1,3,4,0,200
1,1,1,1,0,3000.0,3,2,4,3,24,3,3,0,2,2,0,2,1,500
1,2,1,3,2,4500.0,1,0,3,2,21,4,3,0,2,4,2,1,0,1000
1,3,0,2,1,800.0,2,3,2,2,10,1,1,1,1,4,1,1,0,50
1,0,0,4,4,0.0,0,1,6,0,7,4,3,0,1,6,3,2,0,30
0,1,1,1,0,4000.0,0,2,5,1,15,2,2,0,5,0,0,4,1,300
0,2,0,1,0,2000.0,3,0,6,1,10,3,2,0,3,0,2,3,1,150
0,0,0,2,3,0.0,0,3,4,1,2,2,1,0,5,0,0,1,1,100
0,3,1,3,1,2500.0,2,2,2,1,13,2,1,0,4,0,2,1,1,500
0,1,0,0,2,3000.0,0,1,8,1,16,3,2,0,3,0,0,3,1,400
0,0,0,0,3,100.0,0,3,10,3,10,3,2,0,4,1,2,3,1,200
1,0,1,0,3,760.0,3,1,8,0,25,5,3,1,1,4,3,5,0,180
1,1,0,1,2,2590.0,1,2,6,2,18,3,2,1,1,1,1,3,0,100
1,2,1,1,2,2100.0,1,0,5,2,14,2,2,0,2,1,0,1,1,100
1,0,1,4,2,2910.8,3,0,6,0,19,0,0,0,0,2,1,1,0,60
1,3,0,4,1,700.0,2,3,7,2,12,1,1,0,1,0,1,0,0,50
0,0,1,1,2,1900.0,3,0,5,3,15,2,1,0,1,0,0,1,1,200
0,1,0,0,0,3189.0,3,0,5,3,13,2,1,0,2,0,0,2,1,90
0,1,0,1,2,2589.0,1,3,4,3,21,2,1,0,2,0,0,2,0,76
0,1,0,0,0,4360.0,3,3,4,1,12,2,2,0,2,0,0,3,0,100
1,0,1,0,3,1200.0,0,3,8,3,5,3,3,0,3,0,2,3,1,600
1,0,0,0,3,0.0,0,3,12,3,5,6,4,0,2,0,0,2,0,150
1,3,1,4,1,0.0,0,3,16,2,6,4,1,0,1,0,2,5,1,1000
1,0,1,0,3,1200.0,0,3,12,1,3,4,3,0,2,0,2,3,1,500
1,0,1,1,2,1800.0,0,3,12,2,10,6,5,0,1,0,0,5,0,1000
0,1,0,0,2,2700.0,0,0,16,0,6,4,3,0,5,0,3,3,1,500
0,1,0,3,0,4800.0,0,3,6,1,4,3,2,0,2,0,2,2,1,1200
1,3,0,0,2,5000.0,0,3,17,3,80,3,3,0,10,3,1,5,1,200
1,0,1,1,2,2990.0,3,2,6,2,15,3,1,1,1,4,1,2,0,300
1,2,1,2,3,680.0,0,0,5,2,14,5,2,0,2,2,1,1,0,200
1,2,0,2,2,3567.9,3,2,5,2,15,2,1,1,1,2,0,1,0,100
1,3,1,1,1,890.0,2,0,6,0,17,3,2,0,1,4,1,5,0,69
1,2,0,0,0,4350.0,0,3,4,3,23,3,1,1,2,0,1,5,0,250
1,0,0,2,2,1896.0,3,2,4,2,19,4,2,1,2,6,1,3,0,160
1,1,0,1,2,2650.0,0,0,4,0,30,4,2,0,2,4,3,3,1,210
1,1,1,0,3,1000.0,0,3,5,3,20,3,1,1,2,1,3,6,1,100
1,1,1,1,2,1580.0,3,3,3,3,14,1,1,0,1,3,1,2,0,20
1,0,0,2,3,800.0,0,3,7,0,21,5,3,1,2,4,3,2,1,190
1,3,1,1,1,0.0,1,2,4,1,3,2,1,0,1,0,2,1,1,100
0,2,0,1,1,0.0,3,3,4,3,1,2,1,0,2,0,2,1,1,150
1,0,1,0,3,0.0,0,3,8,1,3,5,3,1,4,0,0,3,0,400
0,3,1,0,2,4000.0,0,2,6,3,13,2,2,0,3,1,3,3,1,1200
0,3,0,3,0,7800.0,0,0,5,0,40,2,3,0,3,6,1,2,1,5000
